店名,星级评分,评论数,平均每人消费,饭店标签,地址
老温州·温州菜,45,1250,￥189,温州菜,欧洲城
和·吃於酒·温州料理(大南里店),50,518,￥304,温州菜,马鞍池
温州乐园,50,13336,￥160,游乐场,大学城
多多渔港·温州小鲜(国鼎店),40,2004,￥94,温州菜,马鞍池
多多渔港·温州小鲜(杨府山店),45,1808,￥99,温州菜,杨府山
享野小館·温州菜(新城店),40,284,￥84,浙菜,中央绿轴
温州味道(三牌坊店),40,85,￥142,温州菜,妙果寺
五马街,50,1283,￥110,休闲街区,五马街/大南门
瓯江南·新派瓯菜(光影码头店),50,244,￥543,温州菜,鹿城区
温州滨江万象城,45,296,未知,商场,江滨东路
温州万象城,50,1750,未知,商场,温州万象城
梧田老街,45,537,￥65,人文古迹,月乐垟
温州印象城MEGA,50,1106,未知,商场,中央绿轴
浙江温州高空跳伞基地(官方旗舰店),0,25,未知,更多新奇体验,马鞍池
温州大道第一商业街,35,30,未知,休闲街区,火车站北
云顶草上世界,40,3793,￥167,游乐场,瓯海区
大英图书馆·世界像素·温州站,45,19,未知,展览馆,江滨东路
小坝坊·慢生活音乐文化创意街区,45,258,￥110,休闲街区,车站大道
Seasons四季与你,50,966,￥189,西餐,杨府山
江心屿景区,50,6438,￥26,自然风光,江心屿
温州威斯汀酒店·宴会厅,40,21,未知,餐厅宴会,鹿城区
忆温州人家烧(八仙楼小区店),35,58,￥71,温州菜,望江路
温州开元名都大酒店·四季轩中餐厅,50,311,￥225,温州菜,中央绿轴
头陀寺,50,94,￥37,宗教,瓯海区
温州TOD印象汇,35,1,未知,商场,龙湾区
温州君廷酒店,40,149,未知,豪华型,动车南站
温州大酒家瓯菜馆(五马街步行街店),40,327,￥105,温州菜,五马街/大南门
山根音乐艺术小村,45,440,￥43,美丽乡村,瓯海区
和·吃於酒·温州人家烧(恒隆店),45,949,￥238,温州菜,车站大道
道坦里中餐厅,40,211,￥100,创意菜,鹿城区
温州科技馆,50,211,未知,科技馆,中央绿轴
温州芬妮特恩森林农场,45,224,￥204,旅游项目/观光项目,瓯海区
大罗山风景区,50,430,￥43,自然风光,瓯海区
中国元素餐厅·温州威斯汀酒店,45,605,￥213,温州菜,鹿城区
红枫古道,40,10,未知,自然风光,瓯海区
三垟湿地,50,778,￥56,城市公园,瓯海区
Makino,40,431,￥69,咖啡厅,瓯海区
温州开元名都大酒店,50,230,未知,豪华型,中央绿轴
阿壮佬·温州排档(勤政路店),45,596,￥127,温州菜,乐清市中心城区
牛排家(滨江万象城店),45,136,￥257,西餐,江滨东路
我怕太太中華料理,45,3790,￥106,浙菜,中央绿轴
温州万豪酒店,45,194,未知,豪华型,江滨东路
温州永嘉书院,45,1963,￥112,古代遗迹,永嘉县
阿拉伯餐厅·中东料理·清真(开源店),45,2447,￥111,中东菜,车站大道
五马集·海鲜大牌档,45,5826,￥80,海鲜,五马街/大南门
撒丁的厨房(温州印象城MEGA店),40,2868,￥125,西餐,中央绿轴
奇特冰雪乐园,40,1405,￥423,滑雪场,鹿城区
温州威斯汀酒店,45,700,未知,豪华型,鹿城区
秘伽·隐世餐厅,50,358,￥512,创意菜,瓯海区
温州香格里拉·宴会厅,40,107,"￥122,920",酒店婚宴/宴会,鹿城区
食善春天春天餐厅(望江西路店),45,3907,￥82,温州菜,望江路
矮平家烧,35,281,￥77,温州菜,欧洲城
TARENTUM萄木·Brunch Bar(浙南首店),45,157,￥132,西餐,杨府山
须尽欢·中式餐厅(城市岛屿店),40,496,￥108,温州菜,灰桥
BungalowBistro平房.,45,1503,￥93,西餐,五马街/大南门
成九丸(万象城?万邦中心店),45,274,￥107,日本料理,温州万象城
The Lost Kitchen失落的厨房,40,367,￥177,西餐,车站大道
O'eat Gastronomy(滨江万象城店),45,212,￥172,西餐,杨府山
阿壮佬·温州排档(丹霞路店),45,1256,￥147,温州菜,乐清市中心城区
Flower House元会,45,688,￥231,西餐,西城路
院子里餐厅(公园路店),35,4,￥61,温州菜,平阳县
牛New寿喜烧(滨江万象城店),45,186,￥172,寿喜锅/烧自助,江滨东路
千寻民族服装换装体验馆,40,22,未知,个性写真,梧田
范家厨房·温州人家烧,35,185,￥233,温州菜,中央绿轴
吾悦广场(龙湾店),50,972,未知,商场,上江
温州城中希尔顿酒店·瓯居海中餐厅,45,65,￥400,特色菜,瓯海区
二两五花(万顺大厦店),45,1742,￥36,西餐,车站大道
花漾餐厅,45,1434,￥195,西餐,葡萄棚/牛山客运中心
莫奈的时间美术馆·西餐,45,699,￥171,西餐,鹿城区
无招牌,45,2779,￥90,温州菜,望江路
温州喜来登酒店-自助餐厅(车站大道店),40,4740,￥192,自助餐,体育中心
瓯菜排档,40,506,￥121,温州菜,动车南站
畔·怀石料理(七都店),45,1585,￥282,日本料理,鹿城区
泰妃殿(温州首店),45,4884,￥113,泰国菜,中央绿轴
温州和晟温德姆酒店,40,204,未知,豪华型,渔寮
Casamia意式家庭小馆(东浦店),40,1447,￥122,西餐,车站大道
去茶去·休闲中餐(五马街店),45,2712,￥65,温州菜,五马街/大南门
尋·月满塘河,45,174,￥125,茶馆,老殿后
温州世贸中心大厦,40,61,未知,商务楼,银泰百货/大南路
老房子里院,35,27,￥28,咖啡厅,望江路
老温州馄饨担(东游大厦店),40,373,￥19,馄饨|抄手|扁食,灰桥
东家小厨(滨海六路店),40,121,￥71,温州菜,滨海园区
温州之家韩国料理(望江路店),40,253,￥109,韩国料理,望江路
冰雪世界,30,46,￥80,游乐场,茶山
梦工场卡丁车运动中心,45,866,￥90,赛车,滨海园区
键勇饭摊(桥儿头店),40,209,￥95,温州菜,南塘风貌街
温州人家烧(景秀湾花园店),35,16,未知,私房菜,龙湾区
温州君廷酒店公寓,45,127,未知,高档型,动车南站
TACO STAR塔可星(万象城店),45,396,￥33,西餐,温州万象城
吹台山森林公园,40,524,￥73,森林公园,瓯海区
温州铂尔曼酒店,45,367,￥706,豪华型,阳光大道
润丰和牛杂(飞霞南路店),40,1767,￥46,小吃面食,蒲鞋市
温州华侨饭店,45,497,￥655,五星级酒店,五马街/大南门
ROIIN用心(浙南首店),45,186,￥150,西餐,杨府山
温州味道名小吃,35,48,￥62,小吃面食,龙湾国际机场
紫气东来tea or coffee,45,434,￥61,咖啡厅,安澜亭
温州国际大酒店,45,797,￥402,四星级酒店,五马街/大南门
金牌外婆家(温州滨江万象城店),40,160,￥90,浙菜,鹿城区
万达广场(龙湾店),50,436,未知,商场,万达广场
喵小鲜·私房海鲜·生醉·夜宵,50,308,￥102,海鲜,银泰百货/大南路
里物LIUU COFFEE BAR,40,232,￥76,咖啡厅,瓯海区
Hà N?i 河内河内·越南小馆,45,182,￥60,越南菜,车站大道
行慢?文食诗酒侘寂美学餐厅(万象城店),45,583,￥181,西餐,温州万象城
瑾,45,639,￥77,温州菜,车站大道
正亮海鲜(人民西路店),45,2336,￥167,海鲜,五马街/大南门
芽笼芽笼新加坡餐厅(温州滨江万象城浙南首店),35,633,￥95,新加坡菜,江滨东路
禄嫂茶冰厅(温州印象城店),40,3164,￥79,粤式茶点,中央绿轴
温州城市大学,40,39,未知,其他院校,龙湾区
放轻松Fun＆Relax(五马街店),40,708,￥69,创意菜,五马街/大南门
南堂戏宴,40,106,￥167,温州菜,南塘风貌街
白熊商店 CHEF TABLE,40,145,￥388,创意菜,米房创意园
南塘.新天地,45,230,未知,商场,东屿村
5050购物中心,45,556,未知,商场,黄龙住宅区
老温州馄饨铺,30,43,￥21,馄饨|抄手|扁食,老殿后
西塔老太太拌饭(温州滨江万象城店),35,178,￥37,韩国料理,江滨东路
外婆家(温州印象城MEGA店),45,2410,￥80,浙菜,中央绿轴
温州铂尔曼酒店蘭 咖啡厅,40,4098,￥148,自助餐,瓯北
宠眷西餐厅(温州万象城店),45,635,￥122,西餐,温州万象城
东篱下休闲农庄,45,382,￥127,苏帮菜,滨海园区
KCOOKING概念韩餐(温州滨江万象城店),45,411,￥105,韩国料理,江滨东路
万象影城(温州滨江万象城HALO巨幕店),40,9,未知,电影院,鹿城区
CRAZYONES克芮旺斯西班牙餐厅(温州滨江万象城店),40,557,￥109,西餐,杨府山
金焰食堂(温州滨江万象城店),45,136,￥98,日本料理,江滨东路
绿茶餐厅(龙湾吾悦店),45,265,￥68,浙菜,上江
Potato Corner(温州滨江万象城店),35,82,￥26,西式快餐,江滨东路
绿茶餐厅(温州万象城店),45,2935,￥76,浙菜,温州万象城
银泰百货(温州世贸店),50,766,未知,商场,银泰百货/大南路
美乐食街(小南店),40,682,￥111,温州菜,马鞍池
双井头饭店,35,45,￥122,温州菜,学院路
金海湖公园,35,28,未知,公园/广场,龙湾区
Sparrow kitchen麻雀厨房,40,75,￥82,西餐,车站大道
MoLi·茉里西餐厅,50,328,￥107,西餐,信河街
温州路之遥奥特莱斯商业广场,40,187,未知,商场,北白象镇
荣小馆(温州印象城店),45,1131,￥148,浙菜,中央绿轴
汪保来(温州滨江万象城店),35,79,￥27,甜品,江滨东路
之禾里·香酥鸡(恒隆店),45,1681,￥80,温州菜,车站大道
響Livehouse(温州店),45,330,￥135,Live House,老殿后
彭厨(滨海店),45,800,￥69,湘菜,滨海园区
正阁餐饮,45,480,￥179,温州菜,江滨东路
3号仓库·餐厅(鹿城店),45,3513,￥127,创意菜,葡萄棚/牛山客运中心
外婆家(温州万象城店),40,3597,￥78,浙菜,温州万象城
大象城国际商贸中心,40,75,未知,商场,动车南站
趁热集合HOTCRUSH(温州滨江万象城店),35,172,￥57,甜品,江滨东路
ampm全时段概念空间(梧田老街店),40,159,￥115,西餐,梧田
MOONLAMOUR月迹自由餐厅(温州滨江万象城店),40,78,￥210,西餐,江滨东路
MELAND CLUB(温州吾悦广场店),40,336,￥249,儿童乐园,上江
bebe温州万象城,35,未知,未知,服饰鞋包,温州万象城
TAGER,45,975,￥316,西餐,鹿城区
LOU.席,35,43,￥59,温州菜,大学城
印象里,35,49,未知,商场,新桥
方格大战(印象城店),40,100,￥40,更多新奇体验,中央绿轴
中庚·漫游天地,40,74,未知,商场,娄桥
雅小馆,50,85,￥215,温州菜,乐成市区
恰FUN!!!,40,509,￥27,快餐简餐,车站大道
须尽欢·中式小酒馆(瑞安店),40,98,￥89,温州菜,瑞安市
四季桐舍,40,227,￥442,温州菜,中央绿轴
银泰百货(瓯海店),50,562,未知,商场,娄桥
一棵树·意大利餐厅One Tree(温州印象城MEGA店),45,1989,￥210,西餐,中央绿轴
易筵席,45,69,￥207,浙菜,江滨东路
